"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 17:44:27 MSK 2024","Tue May 14 17:44:27 MSK 2024","375","tests.user","test_create_user","TestUserCreation","","","Test creating a user with missing fields",""
"passed","Tue May 14 17:44:19 MSK 2024","Tue May 14 17:44:19 MSK 2024","369","tests.order","test_create_order","TestCreateOrder","","","Test creating order without ingredients",""
"passed","Tue May 14 17:44:32 MSK 2024","Tue May 14 17:44:32 MSK 2024","466","tests.user","test_update_user_data","TestUpdateUserData","","","Test updating user email with authorization",""
"passed","Tue May 14 17:44:29 MSK 2024","Tue May 14 17:44:29 MSK 2024","371","tests.user","test_login_user","TestUserLogin","","","Test login with wrong credentials",""
"passed","Tue May 14 17:44:33 MSK 2024","Tue May 14 17:44:33 MSK 2024","348","tests.user","test_update_user_data","TestUpdateUserData","","","Test updating user data without authorization",""
"passed","Tue May 14 17:44:24 MSK 2024","Tue May 14 17:44:25 MSK 2024","465","tests.user","test_create_user","TestUserCreation","","","Test creating a unique user",""
"passed","Tue May 14 17:44:18 MSK 2024","Tue May 14 17:44:19 MSK 2024","389","tests.order","test_create_order","TestCreateOrder","","","Test creating order without authorization",""
"passed","Tue May 14 17:44:27 MSK 2024","Tue May 14 17:44:29 MSK 2024","1317","tests.user","test_login_user","TestUserLogin","","","Test login for existing user",""
"passed","Tue May 14 17:44:19 MSK 2024","Tue May 14 17:44:20 MSK 2024","1134","tests.order","test_get_order","TestCreateUserOrderAndRetrieveOrders","","","Test creating user order and retrieving orders without authorization",""
"passed","Tue May 14 17:44:26 MSK 2024","Tue May 14 17:44:26 MSK 2024","436","tests.user","test_create_user","TestUserCreation","","","Test creating a user with missing fields",""
"passed","Tue May 14 17:44:25 MSK 2024","Tue May 14 17:44:26 MSK 2024","390","tests.user","test_create_user","TestUserCreation","","","Test creating an existing user",""
"passed","Tue May 14 17:44:21 MSK 2024","Tue May 14 17:44:24 MSK 2024","2281","tests.order","test_get_order","TestCreateUserOrderAndRetrieveOrders","","","Test creating user order and retrieving orders with authorization",""
"passed","Tue May 14 17:44:30 MSK 2024","Tue May 14 17:44:30 MSK 2024","363","tests.user","test_update_user_data","TestUpdateUserData","","","Test updating user name with authorization",""
"passed","Tue May 14 17:44:16 MSK 2024","Tue May 14 17:44:18 MSK 2024","1435","tests.order","test_create_order","TestCreateOrder","","","Test creating order with authorization",""
"passed","Tue May 14 17:44:19 MSK 2024","Tue May 14 17:44:19 MSK 2024","379","tests.order","test_create_order","TestCreateOrder","","","Test creating order with invalid ingredients hash",""
"passed","Tue May 14 17:44:26 MSK 2024","Tue May 14 17:44:27 MSK 2024","370","tests.user","test_create_user","TestUserCreation","","","Test creating a user with missing fields",""
